season,week,team,pick_pct,win_prob,expected_value
2019,14,ARI,0.003,0.452,0.65
2019,14,ATL,0.013000000000000001,0.632,0.89
2019,14,BAL,0.01,0.7090000000000001,1
2019,14,BUF,0,0.29100000000000004,0.42
2019,14,CAR,0.005,0.368,0.52
2019,14,CHI,0.003,0.4,0.57
2019,14,CIN,0.001,0.281,0.43
2019,14,CLE,0.076,0.7190000000000001,0.98
2019,14,DAL,0.005,0.6,0.85
2019,14,DEN,0.001,0.228,0.44
2019,14,DET,0.001,0.171,0.29
2019,14,GB,0.36200000000000004,0.8590000000000001,1.07
2019,14,HOU,0.251,0.772,0.97
2019,14,IND,0.003,0.39299999999999996,0.56
2019,14,JAX,0.002,0.377,0.53
2019,14,KC,0.001,0.415,0.59
2019,14,LAC,0.003,0.623,0.88
2019,14,LAR,0.002,0.528,0.75
2019,14,MIA,0.002,0.32899999999999996,0.49
2019,14,MIN,0.11599999999999999,0.8290000000000001,1.13
2019,14,NE,0.003,0.585,0.83
2019,14,NO,0.011000000000000001,0.534,0.75
2019,14,NYG,0.001,0.221,0.32
2019,14,NYJ,0.045,0.6709999999999999,0.92
2019,14,OAK,0.003,0.415,0.59
2019,14,PHI,0.027000000000000003,0.779,1.09
2019,14,PIT,0.019,0.5479999999999999,0.76
2019,14,SEA,0.006,0.47200000000000003,0.66
2019,14,SF,0.001,0.466,0.66
2019,14,TB,0.009000000000000001,0.607,0.85
2019,14,TEN,0.015,0.585,0.82
2019,14,WAS,0,0.141,0.34
2019,15,ARI,0.005,0.401,0.57
2019,15,ATL,0.003,0.20800000000000002,0.33
2019,15,BAL,0.115,0.889,1.23
2019,15,BUF,0.002,0.491,0.7
2019,15,CAR,0.001,0.31,0.46
2019,15,CHI,0.001,0.344,0.49
2019,15,CIN,0.001,0.20600000000000002,0.35
2019,15,CLE,0.009000000000000001,0.599,0.85
2019,15,DAL,0.002,0.495,0.71
2019,15,DEN,0.001,0.217,0.39
2019,15,DET,0.013000000000000001,0.313,0.46
2019,15,GB,0.011000000000000001,0.6559999999999999,0.93
2019,15,HOU,0.008,0.389,0.55
2019,15,IND,0.001,0.23399999999999999,0.37
2019,15,JAX,0.003,0.27699999999999997,0.41
2019,15,KC,0.198,0.7829999999999999,1.03
2019,15,LAC,0.002,0.474,0.67
2019,15,LAR,0.012,0.505,0.71
2019,15,MIA,0.002,0.368,0.57
2019,15,MIN,0.006999999999999999,0.526,0.74
2019,15,NE,0.14,0.794,1.07
2019,15,NO,0.083,0.7659999999999999,1.05
2019,15,NYG,0.107,0.632,0.84
2019,15,NYJ,0.001,0.111,0.18
2019,15,OAK,0.043,0.723,1.01
2019,15,PHI,0.017,0.721,1.02
2019,15,PIT,0.006999999999999999,0.509,0.72
2019,15,SEA,0.051,0.69,0.96
2019,15,SF,0.09300000000000001,0.792,1.09
2019,15,TB,0.047,0.687,0.96
2019,15,TEN,0.013000000000000001,0.611,0.86
2019,15,WAS,0.001,0.27899999999999997,0.4
2019,16,ARI,0.001,0.23,0.47
2019,16,ATL,0.213,0.735,1.01
2019,16,BAL,0.047,0.777,1.17
2019,16,BUF,0,0.28300000000000003,0.44
2019,16,CAR,0.006,0.272,0.42
2019,16,CHI,0.002,0.27399999999999997,0.44
2019,16,CIN,0.032,0.5379999999999999,0.81
2019,16,CLE,0.001,0.223,0.36
2019,16,DAL,0.002,0.557,0.85
2019,16,DEN,0.146,0.75,1.07
2019,16,DET,0.009000000000000001,0.25,0.45
2019,16,GB,0.001,0.344,0.53
2019,16,HOU,0.039,0.584,0.87
2019,16,IND,0.023,0.728,1.1
2019,16,JAX,0.01,0.265,0.52
2019,16,KC,0.049,0.726,1.08
2019,16,LAC,0.025,0.748,1.13
2019,16,LAR,0.006,0.263,0.41
2019,16,MIA,0.017,0.462,0.72
2019,16,MIN,0.002,0.6559999999999999,1
2019,16,NE,0.023,0.7170000000000001,1.09
2019,16,NO,0.036000000000000004,0.622,0.93
2019,16,NYG,0.011000000000000001,0.531,0.81
2019,16,NYJ,0.002,0.382,0.61
2019,16,OAK,0.001,0.252,0.4
2019,16,PHI,0.001,0.44299999999999995,0.68
2019,16,PIT,0.042,0.618,0.92
2019,16,SEA,0.225,0.77,1.06
2019,16,SF,0.018000000000000002,0.737,1.12
2019,16,TB,0.002,0.41600000000000004,0.66
2019,16,TEN,0.001,0.37799999999999995,0.6
