date,season,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
11/29/1923,1923,CBD,TOL,1724.863,1507.295,0.835702264,0.164297736
11/29/1923,1923,CHI,ARI,1640.497,1575.686,0.678579669,0.321420331
11/29/1923,1923,AKR,BFF,1438.618,1559.741,0.419927758,0.580072242
12/1/1923,1923,RCH,BFF,1389.082,1546.662,0.369832998,0.630167002
12/2/1923,1923,CBD,BFF,1734.669,1565.394,0.793899883,0.206100117
12/2/1923,1923,CHI,MIL,1648.912,1502.447,0.771586357,0.228413643
12/2/1923,1923,RAC,MNN,1452.047,1432.318,0.619573732,0.380426268
12/2/1923,1923,ARI,OOR,1567.271,1272.903,0.887822411,0.112177589
12/2/1923,1923,COL,DAY,1436.688,1451.414,0.571849336,0.428150664
12/9/1923,1923,COL,CBD,1464.584,1744.757,0.224673611,0.775326389
12/9/1923,1923,CHI,RII,1640.629,1515.278,0.749462644,0.250537356
12/9/1923,1923,ARI,MIL,1569.945,1510.73,0.671513641,0.328486359
12/9/1923,1923,LOU,OOR,1371.093,1270.23,0.722076296,0.277923704
9/27/1924,1924,FYJ,RCH,1413.889,1415.234,0.590595488,0.409404512
9/28/1924,1924,ARI,MIL,1537.871,1519.245,0.618076038,0.381923962
9/28/1924,1924,DUL,GB,1415.108,1535.792,0.420543452,0.579456548
9/28/1924,1924,RAC,HAM,1485.22,1428.645,0.668152731,0.331847269
9/28/1924,1924,RII,CHI,1502.212,1605.059,0.445748208,0.554251792
10/4/1924,1924,FYJ,KEN,1438.487,1300,0.763391717,0.236608283
10/5/1924,1924,ARI,GB,1555.517,1519.309,0.641665465,0.358334535
10/5/1924,1924,MIL,KCB,1501.599,1300,0.822688156,0.177311844
10/5/1924,1924,RII,RAC,1503.867,1500.302,0.597411659,0.402588341
10/5/1924,1924,MNN,DUL,1441.023,1431.591,0.605507073,0.394492927
10/5/1924,1924,DAY,FYJ,1450.678,1452.599,0.589793531,0.410206469
10/5/1924,1924,BFF,COL,1538.537,1471.513,0.681351831,0.318648169
10/5/1924,1924,RCH,AKR,1390.636,1469.465,0.480108972,0.519891028
10/5/1924,1924,CIB,CHI,1415.865,1603.405,0.330616744,0.669383256
10/11/1924,1924,FYJ,CIB,1432.143,1431.44,0.593442962,0.406557038
10/12/1924,1924,ARI,MNN,1565.015,1423.647,0.766374169,0.233625831
10/12/1924,1924,CHI,RAC,1587.829,1482.322,0.727409156,0.272590844
10/12/1924,1924,RII,HAM,1521.846,1413.563,0.7305662,0.2694338
10/12/1924,1924,GB,KCB,1509.81,1295.615,0.833018888,0.166981112
10/12/1924,1924,MIL,KEN,1505.984,1285.887,0.837691392,0.162308608
10/12/1924,1924,BFF,DAY,1554.403,1471.135,0.701300667,0.298699333
10/12/1924,1924,CIB,AKR,1434.29,1482.693,0.523866851,0.476133149
10/12/1924,1924,RCH,COL,1377.407,1455.646,0.480956763,0.519043237
10/18/1924,1924,FYJ,COL,1429.293,1476.655,0.525361339,0.474638661
10/19/1924,1924,RAC,KCB,1489.258,1287.219,0.823057326,0.176942674
10/19/1924,1924,KEN,HAM,1277.005,1397.1,0.421369907,0.578630093
10/19/1924,1924,RII,DAY,1538.31,1502.409,0.641259022,0.358740978
10/19/1924,1924,CHI,ARI,1580.894,1576.289,0.598850687,0.401149313
10/19/1924,1924,GB,MIL,1518.207,1514.867,0.597100109,0.402899891
10/19/1924,1924,BFF,RCH,1523.129,1356.398,0.791493403,0.208506597
10/26/1924,1924,BFF,AKR,1535.564,1456.488,0.696221307,0.303778693
10/26/1924,1924,DAY,COL,1481.523,1449.974,0.635475719,0.364524281
